Name;TOA (UTC+3);TOA (UTC+0);Illuminated;RTC;OBC On/Off;RM0 On/Off;RM1 On/Off;OSS On/Off;Sensors On/Off;SDR On/Off;N/A 0;N/A 1;Guard flag OBC;Guard flag RM0;Guard flag RM1;Guard flag OSS;Guard flag Sensors;Guard flag SDR;N/A 2;N/A 3;System Bus Voltage [mV];System Bus Current [mA];BA Charge [mA/h];Current on OBC [mA];Current on RM1 [mA];Current on RМ2 [mA];Current on OSS [mA];Current on Sensors [mA];Current on SDR [mA];Min Temp BA [C];Max Temp BA [C];Current from SP1 [mA];Current from SP2 [mA];Current from SP3 [mA];Current from SP4 [mA];Bus voltage SP;BA discharge On/Off 72;BA discharge On/Off 73;BA discharge On/Off 74;BA discharge On/Off 75;BA discharge On/Off 76;BA discharge On/Off 77;N/A 4;N/A 5;BA charge On/Off 72;BA charge On/Off 73;BA charge On/Off 74;BA charge On/Off 75;BA charge On/Off 76;BA charge On/Off 77;N/A 6;N/A 7;BA Charge %;Packet (HEX)
Polytech_U1;2022-08-29-18:01:07;2022-08-29-15:01:07;0;79811;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;-100;900;0;0;80;0;0;0;-3;-2;0;0;0;0;75;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024511091426263072a1d0294ff01c3370104008ffe09000004000000fdfe0000000003303019
Polytech_U1;2022-08-29-18:02:06;2022-08-29-15:02:06;0;79866;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;-100;900;0;0;80;0;0;0;-3;-2;0;0;0;0;75;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec02491499142626407c21e0293ff01fa370104008ffe09000004000000fdfe0000000003303019
Polytech_U1;2022-08-29-18:02:06;2022-08-29-15:02:06;0;79866;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;-100;900;0;0;80;0;0;0;-3;-2;0;0;0;0;75;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec02491499142626407c21e0293ff01fa370104008ffe09000004000000fdfe0000000003303019
Polytech_U1;2022-08-29-18:28:37;2022-08-29-15:28:37;1;81454;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6700;-450;800;0;0;60;0;0;0;-6;0;40;60;420;0;4975;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;15;01027ec024617c9742628007624b0298ff012e3e01040086f708000003000000fa0002031500c730300f
Polytech_U1;2022-08-29-18:29:37;2022-08-29-15:29:37;1;81509;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;150;800;0;0;60;0;0;0;-6;0;0;60;440;0;4975;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec02462b59742628107fa4c0298ff01653e0104008f0308000003000000fa0000031600c7303019
Polytech_U1;2022-08-29-18:29:37;2022-08-29-15:29:37;1;81509;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;150;800;0;0;60;0;0;0;-6;0;0;60;440;0;4975;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec02462b59742628107fa4c0298ff01653e0104008f0308000003000000fa0000031600c7303019
Polytech_U1;2022-08-29-18:30:22;2022-08-29-15:30:22;1;81569;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;100;800;0;0;60;0;0;0;-6;0;20;60;400;0;4975;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec02403ed9742628207924e0296ff01a13e0104008f0208000003000000fa0001031400c7303019
Polytech_U1;2022-08-29-18:30:22;2022-08-29-15:30:22;1;81569;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;100;800;0;0;60;0;0;0;-6;0;20;60;400;0;4975;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec02403ed9742628207924e0296ff01a13e0104008f0208000003000000fa0001031400c7303019
Polytech_U1;2022-08-29-18:31:22;2022-08-29-15:31:22;1;81624;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;100;800;0;0;60;0;0;0;-6;0;0;60;340;0;4975;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024a92698426283072a500298ff01d83e0104008f0208000003000000fa0000031100c7303019
Polytech_U1;2022-08-29-18:31:22;2022-08-29-15:31:22;1;81624;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;100;800;0;0;60;0;0;0;-6;0;0;60;340;0;4975;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024a92698426283072a500298ff01d83e0104008f0208000003000000fa0000031100c7303019
Polytech_U1;2022-08-29-18:31:22;2022-08-29-15:31:22;1;81624;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;100;800;0;0;60;0;0;0;-6;0;0;60;340;0;4975;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024a92698426283072a500298ff01d83e0104008f0208000003000000fa0000031100c7303019
Polytech_U1;2022-08-29-18:32:20;2022-08-29-15:32:20;1;81679;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7150;100;800;0;0;60;0;0;0;-6;0;0;60;320;0;4975;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;25;01027ec024d15f9842628407c2510297ff010f3f0104008f0208000003000000fa0000031000c7303019
